"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","781","Вход с неверным логином и паролем","tests","2025-12-24","passed","2025-12-24","TestLoginUser","test_login_user","",""
"","770","Создание пользователя без пароля","tests","2025-12-24","passed","2025-12-24","TestCreateUser","test_create_user","",""
"","5878","Получение заказов авторизованного пользователя","tests","2025-12-24","passed","2025-12-24","TestGetUserOrders","test_get_user_orders","",""
"","761","Создание пользователя, который уже зарегистрирован","tests","2025-12-24","passed","2025-12-24","TestCreateUser","test_create_user","",""
"","845","Вход под существующим пользователем","tests","2025-12-24","passed","2025-12-24","TestLoginUser","test_login_user","",""
"","797","Создание уникального пользователя","tests","2025-12-24","passed","2025-12-24","TestCreateUser","test_create_user","",""
"","668","Создание пользователя без имени","tests","2025-12-24","passed","2025-12-24","TestCreateUser","test_create_user","",""
"","788","Создание заказа с неверным хешем ингредиентов","tests","2025-12-24","passed","2025-12-24","TestCreateOrder","test_create_order","",""
"","787","Создание заказа без ингредиентов","tests","2025-12-24","passed","2025-12-24","TestCreateOrder","test_create_order","",""
"","1536","Создание заказа без авторизации","tests","2025-12-24","passed","2025-12-24","TestCreateOrder","test_create_order","",""
"","838","Вход с неверным паролем","tests","2025-12-24","passed","2025-12-24","TestLoginUser","test_login_user","",""
"","765","Получение заказов неавторизованного пользователя","tests","2025-12-24","passed","2025-12-24","TestGetUserOrders","test_get_user_orders","",""
"","748","Создание пользователя без email","tests","2025-12-24","passed","2025-12-24","TestCreateUser","test_create_user","",""
"","4814","Создание заказа с авторизацией","tests","2025-12-24","passed","2025-12-24","TestCreateOrder","test_create_order","",""
